certificate_id,batch_id,asset_name,technology,country,generation_start,generation_end,issue_date,received_date,allocated_date,retired_date,status,quantity_mwh,counterparty,contract_id,account,last_updated,source_file
REG-WIND-0017,BATCH-WIN-001,Wind Asset 8,Wind,GB,2024-07-30,2024-08-28,2024-09-13,2024-09-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0018,BATCH-WIN-001,Wind Asset 9,Wind,GB,2024-08-29,2024-09-27,2024-10-13,2024-10-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0019,BATCH-WIN-001,Wind Asset 1,Wind,GB,2024-09-28,2024-10-27,2024-11-12,2024-11-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0020,BATCH-WIN-001,Wind Asset 2,Wind,GB,2024-10-28,2024-11-26,2024-12-12,2024-12-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0021,BATCH-WIN-002,Wind Asset 3,Wind,GB,2024-11-27,2024-12-26,2025-01-11,2025-01-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0022,BATCH-WIN-002,Wind Asset 4,Wind,GB,2024-12-27,2025-01-25,2025-02-10,2025-02-15,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0023,BATCH-WIN-002,Wind Asset 5,Wind,GB,2025-01-26,2025-02-24,2025-03-12,2025-03-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0024,BATCH-WIN-002,Wind Asset 6,Wind,GB,2025-02-25,2025-03-26,2025-04-11,2025-04-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0025,BATCH-WIN-002,Wind Asset 7,Wind,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0026,BATCH-WIN-002,Wind Asset 8,Wind,GB,2024-05-01,2024-05-30,2024-06-15,2024-06-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0027,BATCH-WIN-002,Wind Asset 9,Wind,GB,2024-05-31,2024-06-29,2024-07-15,2024-07-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0028,BATCH-WIN-002,Wind Asset 1,Wind,GB,2024-06-30,2024-07-29,2024-08-14,2024-08-19,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0029,BATCH-WIN-002,Wind Asset 2,Wind,GB,2024-07-30,2024-08-28,2024-09-13,2024-09-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0030,BATCH-WIN-002,Wind Asset 3,Wind,GB,2024-08-29,2024-09-27,2024-10-13,2024-10-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0031,BATCH-WIN-003,Wind Asset 4,Wind,GB,2024-09-28,2024-10-27,2024-11-12,2024-11-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0032,BATCH-WIN-003,Wind Asset 5,Wind,GB,2024-10-28,2024-11-26,2024-12-12,2024-12-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0033,BATCH-WIN-003,Wind Asset 6,Wind,GB,2024-11-27,2024-12-26,2025-01-11,2025-01-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0034,BATCH-WIN-003,Wind Asset 7,Wind,GB,2024-12-27,2025-01-25,2025-02-10,2025-02-15,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0035,BATCH-WIN-003,Wind Asset 8,Wind,GB,2025-01-26,2025-02-24,2025-03-12,2025-03-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0036,BATCH-WIN-003,Wind Asset 9,Wind,GB,2025-02-25,2025-03-26,2025-04-11,2025-04-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0037,BATCH-WIN-003,Wind Asset 1,Wind,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0038,BATCH-WIN-003,Wind Asset 2,Wind,GB,2024-05-01,2024-05-30,2024-06-15,2024-06-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0039,BATCH-WIN-003,Wind Asset 3,Wind,GB,2024-05-31,2024-06-29,2024-07-15,2024-07-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0040,BATCH-WIN-003,Wind Asset 4,Wind,GB,2024-06-30,2024-07-29,2024-08-14,2024-08-19,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0041,BATCH-WIN-004,Wind Asset 5,Wind,GB,2024-07-30,2024-08-28,2024-09-13,2024-09-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0042,BATCH-WIN-004,Wind Asset 6,Wind,GB,2024-08-29,2024-09-27,2024-10-13,2024-10-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0043,BATCH-WIN-004,Wind Asset 7,Wind,GB,2024-09-28,2024-10-27,2024-11-12,2024-11-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0044,BATCH-WIN-004,Wind Asset 8,Wind,GB,2024-10-28,2024-11-26,2024-12-12,2024-12-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0045,BATCH-WIN-004,Wind Asset 9,Wind,GB,2024-11-27,2024-12-26,2025-01-11,2025-01-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0046,BATCH-WIN-004,Wind Asset 1,Wind,GB,2024-12-27,2025-01-25,2025-02-10,2025-02-15,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0047,BATCH-WIN-004,Wind Asset 2,Wind,GB,2025-01-26,2025-02-24,2025-03-12,2025-03-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-WIND-0048,BATCH-WIN-004,Wind Asset 4,Wind,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,100,Corporate Buyer A,C-001,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0001,BATCH-SOL-000,Solar Asset 1,Solar,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0002,BATCH-SOL-000,Solar Asset 2,Solar,GB,2024-05-01,2024-05-30,2024-06-15,2024-06-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0003,BATCH-SOL-000,Solar Asset 3,Solar,GB,2024-05-31,2024-06-29,2024-07-15,2024-07-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0004,BATCH-SOL-000,Solar Asset 4,Solar,GB,2024-06-30,2024-07-29,2024-08-14,2024-08-19,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0005,BATCH-SOL-000,Solar Asset 5,Solar,GB,2024-07-30,2024-08-28,2024-09-13,2024-09-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0006,BATCH-SOL-000,Solar Asset 6,Solar,GB,2024-08-29,2024-09-27,2024-10-13,2024-10-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0007,BATCH-SOL-000,Solar Asset 7,Solar,GB,2024-09-28,2024-10-27,2024-11-12,2024-11-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0008,BATCH-SOL-000,Solar Asset 8,Solar,GB,2024-10-28,2024-11-26,2024-12-12,2024-12-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0009,BATCH-SOL-000,Solar Asset 9,Solar,GB,2024-11-27,2024-12-26,2025-01-11,2025-01-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0010,BATCH-SOL-000,Solar Asset 1,Solar,GB,2024-12-27,2025-01-25,2025-02-10,2025-02-15,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0011,BATCH-SOL-001,Solar Asset 2,Solar,GB,2025-01-26,2025-02-24,2025-03-12,2025-03-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0012,BATCH-SOL-001,Solar Asset 3,Solar,GB,2025-02-25,2025-03-26,2025-04-11,2025-04-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0013,BATCH-SOL-001,Solar Asset 4,Solar,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0014,BATCH-SOL-001,Solar Asset 5,Solar,GB,2024-05-01,2024-05-30,2024-06-15,2024-06-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0015,BATCH-SOL-001,Solar Asset 6,Solar,GB,2024-05-31,2024-06-29,2024-07-15,2024-07-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0016,BATCH-SOL-001,Solar Asset 7,Solar,GB,2024-06-30,2024-07-29,2024-08-14,2024-08-19,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0017,BATCH-SOL-001,Solar Asset 8,Solar,GB,2024-07-30,2024-08-28,2024-09-13,2024-09-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0018,BATCH-SOL-001,Solar Asset 9,Solar,GB,2024-08-29,2024-09-27,2024-10-13,2024-10-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0019,BATCH-SOL-001,Solar Asset 1,Solar,GB,2024-09-28,2024-10-27,2024-11-12,2024-11-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0020,BATCH-SOL-001,Solar Asset 2,Solar,GB,2024-10-28,2024-11-26,2024-12-12,2024-12-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0021,BATCH-SOL-002,Solar Asset 3,Solar,GB,2024-11-27,2024-12-26,2025-01-11,2025-01-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0022,BATCH-SOL-002,Solar Asset 4,Solar,GB,2024-12-27,2025-01-25,2025-02-10,2025-02-15,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0023,BATCH-SOL-002,Solar Asset 5,Solar,GB,2025-01-26,2025-02-24,2025-03-12,2025-03-17,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0024,BATCH-SOL-002,Solar Asset 6,Solar,GB,2025-02-25,2025-03-26,2025-04-11,2025-04-16,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0025,BATCH-SOL-002,Solar Asset 7,Solar,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0026,BATCH-SOL-002,Solar Asset 8,Solar,GB,2024-05-01,2024-05-30,2024-06-15,2024-06-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0027,BATCH-SOL-002,Solar Asset 9,Solar,GB,2024-05-31,2024-06-29,2024-07-15,2024-07-20,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0028,BATCH-SOL-002,Solar Asset 1,Solar,GB,2024-06-30,2024-07-29,2024-08-14,2024-08-19,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-SOLAR-0029,BATCH-SOL-002,Solar Asset 2,Solar,GB,2024-07-30,2024-08-28,2024-09-13,2024-09-18,2025-03-20,2025-06-15,Retired,250,Corporate Buyer B,C-002,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0001,BATCH-WIN-000,Wind Asset 1,Wind,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0002,BATCH-SOL-000,Solar Asset 2,Solar,GB,2024-05-01,2024-05-30,2024-06-15,2024-06-20,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0003,BATCH-HYD-000,Hydro Asset 3,Hydro,GB,2024-05-31,2024-06-29,2024-07-15,2024-07-20,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0004,BATCH-BIO-000,Biomass Asset 4,Biomass,GB,2024-06-30,2024-07-29,2024-08-14,2024-08-19,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0005,BATCH-WIN-000,Wind Asset 5,Wind,GB,2024-07-30,2024-08-28,2024-09-13,2024-09-18,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0006,BATCH-SOL-000,Solar Asset 6,Solar,GB,2024-08-29,2024-09-27,2024-10-13,2024-10-18,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0007,BATCH-HYD-000,Hydro Asset 7,Hydro,GB,2024-09-28,2024-10-27,2024-11-12,2024-11-17,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0008,BATCH-BIO-000,Biomass Asset 8,Biomass,GB,2024-10-28,2024-11-26,2024-12-12,2024-12-17,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0009,BATCH-WIN-000,Wind Asset 9,Wind,GB,2024-11-27,2024-12-26,2025-01-11,2025-01-16,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0010,BATCH-SOL-000,Solar Asset 1,Solar,GB,2024-12-27,2025-01-25,2025-02-10,2025-02-15,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0011,BATCH-HYD-001,Hydro Asset 2,Hydro,GB,2025-01-26,2025-02-24,2025-03-12,2025-03-17,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0012,BATCH-BIO-001,Biomass Asset 3,Biomass,GB,2025-02-25,2025-03-26,2025-04-11,2025-04-16,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0013,BATCH-WIN-001,Wind Asset 4,Wind,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0014,BATCH-SOL-001,Solar Asset 5,Solar,GB,2024-05-01,2024-05-30,2024-06-15,2024-06-20,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0015,BATCH-HYD-001,Hydro Asset 6,Hydro,GB,2024-05-31,2024-06-29,2024-07-15,2024-07-20,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0016,BATCH-BIO-001,Biomass Asset 7,Biomass,GB,2024-06-30,2024-07-29,2024-08-14,2024-08-19,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0017,BATCH-WIN-001,Wind Asset 8,Wind,GB,2024-07-30,2024-08-28,2024-09-13,2024-09-18,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0018,BATCH-SOL-001,Solar Asset 9,Solar,GB,2024-08-29,2024-09-27,2024-10-13,2024-10-18,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0019,BATCH-HYD-001,Hydro Asset 1,Hydro,GB,2024-09-28,2024-10-27,2024-11-12,2024-11-17,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0020,BATCH-BIO-001,Biomass Asset 2,Biomass,GB,2024-10-28,2024-11-26,2024-12-12,2024-12-17,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0021,BATCH-WIN-002,Wind Asset 3,Wind,GB,2024-11-27,2024-12-26,2025-01-11,2025-01-16,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0022,BATCH-SOL-002,Solar Asset 4,Solar,GB,2024-12-27,2025-01-25,2025-02-10,2025-02-15,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0023,BATCH-HYD-002,Hydro Asset 5,Hydro,GB,2025-01-26,2025-02-24,2025-03-12,2025-03-17,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0024,BATCH-BIO-002,Biomass Asset 6,Biomass,GB,2025-02-25,2025-03-26,2025-04-11,2025-04-16,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0025,BATCH-WIN-002,Wind Asset 7,Wind,GB,2024-04-01,2024-04-30,2024-05-16,2024-05-21,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0026,BATCH-SOL-002,Solar Asset 8,Solar,GB,2024-05-01,2024-05-30,2024-06-15,2024-06-20,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0027,BATCH-HYD-002,Hydro Asset 9,Hydro,GB,2024-05-31,2024-06-29,2024-07-15,2024-07-20,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0028,BATCH-BIO-002,Biomass Asset 1,Biomass,GB,2024-06-30,2024-07-29,2024-08-14,2024-08-19,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
REG-POOL-0029,BATCH-WIN-002,Wind Asset 2,Wind,GB,2024-07-30,2024-08-28,2024-09-13,2024-09-18,2025-03-20,2025-06-15,Retired,250,FMD Pool,C-003,REGO Operating Account,2025-03-30,synthetic_rego_ledger.csv
